id;dia_semana;fecha_inicio;fecha_fin;empleado_id
1;shimmering;2024-12-01T21:33:59;2024-12-02T07:08:13;7656
2;parched monstrous oof;2024-12-02T07:21:11;2024-12-01T21:37:05;8516
3;nor unhealthy honored;2024-12-01T20:12:02;2024-12-01T23:01:46;14505
4;huddle;2024-12-01T23:26:31;2024-12-02T01:48:34;17222
5;downright gratefully;2024-12-02T00:31:06;2024-12-02T06:57:23;16181
6;beyond covenant drat;2024-12-01T22:03:36;2024-12-02T13:38:31;27440
7;engage well-made;2024-12-01T20:09:36;2024-12-02T00:20:35;24211
8;hunt badly not;2024-12-02T06:42:43;2024-12-01T23:42:13;32480
9;proliferate concerning idolized;2024-12-02T01:47:07;2024-12-02T14:50:33;25504
10;stealthily;2024-12-01T23:16:36;2024-12-02T12:24:36;9508
