id;nombre;descripcion;url_imagen;establecimiento_id
1;blah frenetically acceptable;during;beneath boohoo yet;5694
2;promptly longingly lest;ugh under;electronics tomorrow woot;31116
3;till loftily obnoxiously;until pish supposing;carefree;12439
4;now nectarine oof;now spirit;against;1831
5;hungrily bah;separately nervously;morbidity experience;13293
6;gah;configuration;tenderly nocturnal warmly;28732
7;and;shakily;hm;1895
8;calmly;cemetery;status merrily reel;20307
9;if for;sharply;gadzooks birth;16981
10;gosh;stoop edge generously;worth snappy likewise;5693
