id;monto;fecha_pago;metodo_pago;estado;cita_id;carrito_id;user_id
1;24985.77;2024-12-01T20:26:19;OTRO;dearly;593;19015;31295
2;13833.79;2024-12-02T18:17:01;TRANSFERENCIA;charter sonnet wretched;19672;1138;7018
3;14016.34;2024-12-02T00:13:05;TARJETA;fooey unusual;11194;4813;24050
4;11973.54;2024-12-02T06:50:10;EFECTIVO;serialize for;9417;22473;32666
5;23713.56;2024-12-02T05:50:42;TARJETA;accidentally apropos monthly;19463;30874;30025
6;2284.39;2024-12-02T04:29:19;EFECTIVO;always;6571;16153;3685
7;14575.82;2024-12-01T21:20:27;EFECTIVO;best-seller quaintly subdued;28588;417;11659
8;19379.2;2024-12-02T15:50:24;TARJETA;multicolored inasmuch snowplow;14837;16225;9808
9;26985.33;2024-12-02T12:51:40;TRANSFERENCIA;recovery hydrant;17817;8167;15108
10;7535.88;2024-12-02T03:39:08;EFECTIVO;anti bah;17998;26239;9471
