id;nombre;descripcion;precio;cantidad;url_img;categoria_producto_id;establecimiento_id
1;blah;curiously;3588.42;29211;how;26500;1675
2;horst;coagulate premium;8656.39;13265;though extra-large;1378;10337
3;inasmuch sway woot;account;22168.16;9254;syringe handful;8611;15517
4;institute beloved fooey;fort millet indeed;13209.61;19420;moisten;27550;15923
5;abaft;traditionalism blacken for;10604.31;12717;swift gosh chainstay;26544;15703
6;mid whoever;lest toward;18890.95;11676;gosh;17018;7573
7;vivacious truthfully;by;19205.96;21730;yahoo capsize waft;28331;31024
8;unaccountably forenenst meh;boo;6437.56;20469;shadowbox failing;19796;2042
9;as while rationalise;towards hence finally;13852.15;5104;yippee instantly amidst;14859;10623
10;receptor garrote tattered;mmm;30616.08;27774;well-groomed;7901;4806
