id;valor_servicio;tipo_servicio;descripcion;establecimiento_id
1;30419.71;afore underneath off;muddy;6240
2;8742.56;garrote warm;whoa before near;20446
3;20512.09;republican;across whereas;5511
4;20003.25;greatly under;governance travel bah;30804
5;7265.92;to oh solemnly;glorious;6404
6;17170.74;fooey shrilly;unless expansion;2233
7;4098.74;sock boo;brr simplistic which;125
8;22618.99;aw;chasuble buttery;32370
9;21340.49;perfection for aha;past;17094
10;15389.93;huzzah inside however;limply;9875
